horizon_days,left_edge,right_edge,legacy_mass,control_mass,joint_mass
3.000000000000000000e+01,8.752967083147299491e+03,8.848162489317761356e+03,1.708299992510220987e-18,2.749901951771837170e-12,9.420263138674163829e-14
3.000000000000000000e+01,8.848162489317761356e+03,8.943357895488223221e+03,0.000000000000000000e+00,2.855527550670054515e-12,1.160154209351287286e-13
3.000000000000000000e+01,8.943357895488223221e+03,9.038553301658686905e+03,2.163689323564414885e-17,2.825816693517403192e-12,2.241815504176327033e-13
3.000000000000000000e+01,9.038553301658686905e+03,9.133748707829148771e+03,0.000000000000000000e+00,2.969693548266871299e-12,1.235727921452733550e-15
3.000000000000000000e+01,9.133748707829148771e+03,9.228944113999612455e+03,0.000000000000000000e+00,2.843694551305792014e-12,2.239136109603991972e-13
3.000000000000000000e+01,9.228944113999612455e+03,9.324139520170076139e+03,1.622773202079252006e-17,3.185055509355014070e-12,-6.091478159071373126e-15
3.000000000000000000e+01,9.324139520170076139e+03,9.419334926340538004e+03,0.000000000000000000e+00,3.056060557964655264e-12,-2.308748951534760957e-13
3.000000000000000000e+01,9.419334926340538004e+03,9.514530332511001689e+03,4.424480039060753917e-18,3.353232701467280056e-12,-8.192480570199718963e-14
3.000000000000000000e+01,9.514530332511001689e+03,9.609725738681463554e+03,0.000000000000000000e+00,3.074335903256395664e-12,-5.708978020596305136e-14
3.000000000000000000e+01,9.609725738681463554e+03,9.704921144851927238e+03,0.000000000000000000e+00,3.221952088158530292e-12,2.125634604936702973e-14
3.000000000000000000e+01,9.704921144851927238e+03,9.800116551022389103e+03,0.000000000000000000e+00,3.231016016133457302e-12,2.172080265629214534e-13
3.000000000000000000e+01,9.800116551022389103e+03,9.895311957192852788e+03,0.000000000000000000e+00,3.143143056592747842e-12,7.438856035188220429e-14
3.000000000000000000e+01,9.895311957192852788e+03,9.990507363363316472e+03,0.000000000000000000e+00,3.231333339942095292e-12,-1.141336548642887309e-13
3.000000000000000000e+01,9.990507363363316472e+03,1.008570276953377834e+04,1.388041874945906619e-18,3.336917527286398771e-12,-9.651744166090479037e-14
3.000000000000000000e+01,1.008570276953377834e+04,1.018089817570424202e+04,0.000000000000000000e+00,3.194988714204621297e-12,-2.567208196783001696e-13
3.000000000000000000e+01,1.018089817570424202e+04,1.027609358187470389e+04,3.032613562916214618e-18,3.284635359869911969e-12,1.260828256595907044e-13
3.000000000000000000e+01,1.027609358187470389e+04,1.037128898804516757e+04,0.000000000000000000e+00,3.107249717567062407e-12,1.715729649351721278e-13
3.000000000000000000e+01,1.037128898804516757e+04,1.046648439421562944e+04,0.000000000000000000e+00,3.414578719843908438e-12,-1.099553612065138657e-13
3.000000000000000000e+01,1.046648439421562944e+04,1.056167980038609312e+04,0.000000000000000000e+00,3.366984364433065709e-12,5.625698436570411289e-14
3.000000000000000000e+01,1.056167980038609312e+04,1.065687520655655680e+04,7.431745235145046732e-18,3.460589723013103427e-12,-1.534333297503974447e-13
3.000000000000000000e+01,1.065687520655655680e+04,1.075207061272701867e+04,0.000000000000000000e+00,3.371716005155340775e-12,-2.750216467158379558e-14
3.000000000000000000e+01,1.075207061272701867e+04,1.084726601889748235e+04,5.286156142402798197e-18,3.348513223113338429e-12,1.893108761635527487e-13
3.000000000000000000e+01,1.084726601889748235e+04,1.094246142506794422e+04,0.000000000000000000e+00,3.386394084460046231e-12,-1.333251823095379740e-15
